DName,DType,DN_DT,Jahr,Stromverbrauch(Haushalt)
Breisgau-Hochschwarzwald,Landkreis,Breisgau-Hochschwarzwald (Landkreis),2009,1715
Breisgau-Hochschwarzwald,Landkreis,Breisgau-Hochschwarzwald (Landkreis),2010,1756
Breisgau-Hochschwarzwald,Landkreis,Breisgau-Hochschwarzwald (Landkreis),2011,1476
Breisgau-Hochschwarzwald,Landkreis,Breisgau-Hochschwarzwald (Landkreis),2012,1457
Breisgau-Hochschwarzwald,Landkreis,Breisgau-Hochschwarzwald (Landkreis),2013,1443
Breisgau-Hochschwarzwald,Landkreis,Breisgau-Hochschwarzwald (Landkreis),2014,1400
Breisgau-Hochschwarzwald,Landkreis,Breisgau-Hochschwarzwald (Landkreis),2015,1431
Breisgau-Hochschwarzwald,Landkreis,Breisgau-Hochschwarzwald (Landkreis),2016,1414
Breisgau-Hochschwarzwald,Landkreis,Breisgau-Hochschwarzwald (Landkreis),2017,1404
Breisgau-Hochschwarzwald,Landkreis,Breisgau-Hochschwarzwald (Landkreis),2018,1356
Breisgau-Hochschwarzwald,Landkreis,Breisgau-Hochschwarzwald (Landkreis),2019,1450
Breisgau-Hochschwarzwald,Landkreis,Breisgau-Hochschwarzwald (Landkreis),2020,1438
Breisgau-Hochschwarzwald,Landkreis,Breisgau-Hochschwarzwald (Landkreis),2021,1515
Breisgau-Hochschwarzwald,Landkreis,Breisgau-Hochschwarzwald (Landkreis),2022,1478
Breisgau-Hochschwarzwald,Landkreis,Breisgau-Hochschwarzwald (Landkreis),2023,1349
Böblingen,Landkreis,Böblingen (Landkreis),1991,1999
Böblingen,Landkreis,Böblingen (Landkreis),1992,2035
Böblingen,Landkreis,Böblingen (Landkreis),1993,2076
Böblingen,Landkreis,Böblingen (Landkreis),1994,2044
Böblingen,Landkreis,Böblingen (Landkreis),1995,2134
Böblingen,Landkreis,Böblingen (Landkreis),1996,2266
Böblingen,Landkreis,Böblingen (Landkreis),1997,2201
Böblingen,Landkreis,Böblingen (Landkreis),1998,2238
Böblingen,Landkreis,Böblingen (Landkreis),1999,2270
Böblingen,Landkreis,Böblingen (Landkreis),2000,2256
Böblingen,Landkreis,Böblingen (Landkreis),2001,2299
Böblingen,Landkreis,Böblingen (Landkreis),2002,2381
Böblingen,Landkreis,Böblingen (Landkreis),2003,2453
Böblingen,Landkreis,Böblingen (Landkreis),2004,2508
Böblingen,Landkreis,Böblingen (Landkreis),2005,2661
Böblingen,Landkreis,Böblingen (Landkreis),2006,2635
Böblingen,Landkreis,Böblingen (Landkreis),2007,2583
Böblingen,Landkreis,Böblingen (Landkreis),2008,2573
Böblingen,Landkreis,Böblingen (Landkreis),2009,2546
Böblingen,Landkreis,Böblingen (Landkreis),2010,2596
Böblingen,Landkreis,Böblingen (Landkreis),2011,2183
Böblingen,Landkreis,Böblingen (Landkreis),2012,2159
Böblingen,Landkreis,Böblingen (Landkreis),2013,2137
Böblingen,Landkreis,Böblingen (Landkreis),2014,2074
Böblingen,Landkreis,Böblingen (Landkreis),2015,2120
Böblingen,Landkreis,Böblingen (Landkreis),2016,2095
Böblingen,Landkreis,Böblingen (Landkreis),2017,2084
Böblingen,Landkreis,Böblingen (Landkreis),2018,2021
Böblingen,Landkreis,Böblingen (Landkreis),2019,2160
Böblingen,Landkreis,Böblingen (Landkreis),2020,2133
Böblingen,Landkreis,Böblingen (Landkreis),2021,2241
Böblingen,Landkreis,Böblingen (Landkreis),2022,2145
Böblingen,Landkreis,Böblingen (Landkreis),2023,1956
Calw,Landkreis,Calw (Landkreis),1991,891
Calw,Landkreis,Calw (Landkreis),1992,914
Calw,Landkreis,Calw (Landkreis),1993,936
Calw,Landkreis,Calw (Landkreis),1994,923
Calw,Landkreis,Calw (Landkreis),1995,956
Calw,Landkreis,Calw (Landkreis),1996,1005
Calw,Landkreis,Calw (Landkreis),1997,972
Calw,Landkreis,Calw (Landkreis),1998,980
Calw,Landkreis,Calw (Landkreis),1999,993
Calw,Landkreis,Calw (Landkreis),2000,982
Calw,Landkreis,Calw (Landkreis),2001,1001
Calw,Landkreis,Calw (Landkreis),2002,1037
