DName,DType,DN_DT,Jahr,Stromverbrauch(Industrie)
Heilbronn,Landkreis,Heilbronn (Landkreis),2013,3771
Hohenlohekreis,Landkreis,Hohenlohekreis (Landkreis),2013,1202
Schwäbisch Hall,Landkreis,Schwäbisch Hall (Landkreis),2013,1775
Main-Tauber-Kreis,Landkreis,Main-Tauber-Kreis (Landkreis),2013,1073
Heidenheim,Landkreis,Heidenheim (Landkreis),2013,1529
Ostalbkreis,Landkreis,Ostalbkreis (Landkreis),2013,4361
Baden-Baden,kreisfreie Stadt,Baden-Baden (kreisfreie Stadt),2013,128
Karlsruhe,kreisfreie Stadt,Karlsruhe (kreisfreie Stadt),2013,5235
Karlsruhe,Landkreis,Karlsruhe (Landkreis),2013,2772
Rastatt,Landkreis,Rastatt (Landkreis),2013,4151
Heidelberg,kreisfreie Stadt,Heidelberg (kreisfreie Stadt),2013,475
Mannheim,kreisfreie Stadt,Mannheim (kreisfreie Stadt),2013,5144
Neckar-Odenwald-Kreis,Landkreis,Neckar-Odenwald-Kreis (Landkreis),2013,821
Rhein-Neckar-Kreis,Landkreis,Rhein-Neckar-Kreis (Landkreis),2013,3303
Pforzheim,kreisfreie Stadt,Pforzheim (kreisfreie Stadt),2013,705
Calw,Landkreis,Calw (Landkreis),2013,692
Enzkreis,Landkreis,Enzkreis (Landkreis),2013,1554
Freudenstadt,Landkreis,Freudenstadt (Landkreis),2013,1353
Freiburg im Breisgau,kreisfreie Stadt,Freiburg im Breisgau (kreisfreie Stadt),2013,1005
Breisgau-Hochschwarzwald,Landkreis,Breisgau-Hochschwarzwald (Landkreis),2013,1749
Emmendingen,Landkreis,Emmendingen (Landkreis),2013,801
Ortenaukreis,Landkreis,Ortenaukreis (Landkreis),2013,8911
Rottweil,Landkreis,Rottweil (Landkreis),2013,1671
Schwarzwald-Baar-Kreis,Landkreis,Schwarzwald-Baar-Kreis (Landkreis),2013,1712
Tuttlingen,Landkreis,Tuttlingen (Landkreis),2013,1874
Konstanz,Landkreis,Konstanz (Landkreis),2013,2058
Lörrach,Landkreis,Lörrach (Landkreis),2013,2357
Waldshut,Landkreis,Waldshut (Landkreis),2013,1489
Reutlingen,Landkreis,Reutlingen (Landkreis),2013,2343
Tübingen,Landkreis,Tübingen (Landkreis),2013,716
Zollernalbkreis,Landkreis,Zollernalbkreis (Landkreis),2013,1476
Ulm,kreisfreie Stadt,Ulm (kreisfreie Stadt),2013,1048
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),2013,3298
Biberach,Landkreis,Biberach (Landkreis),2013,1947
Bodenseekreis,Landkreis,Bodenseekreis (Landkreis),2013,1809
Ravensburg,Landkreis,Ravensburg (Landkreis),2013,2579
Sigmaringen,Landkreis,Sigmaringen (Landkreis),2013,974
Stuttgart,kreisfreie Stadt,Stuttgart (kreisfreie Stadt),2012,4084
Böblingen,Landkreis,Böblingen (Landkreis),2012,3226
Esslingen,Landkreis,Esslingen (Landkreis),2012,4501
Göppingen,Landkreis,Göppingen (Landkreis),2012,1652
Ludwigsburg,Landkreis,Ludwigsburg (Landkreis),2012,3072
Rems-Murr-Kreis,Landkreis,Rems-Murr-Kreis (Landkreis),2012,4886
Heilbronn,kreisfreie Stadt,Heilbronn (kreisfreie Stadt),2012,1026
Heilbronn,Landkreis,Heilbronn (Landkreis),2012,3731
Hohenlohekreis,Landkreis,Hohenlohekreis (Landkreis),2012,1171
Schwäbisch Hall,Landkreis,Schwäbisch Hall (Landkreis),2012,1624
Main-Tauber-Kreis,Landkreis,Main-Tauber-Kreis (Landkreis),2012,1006
Heidenheim,Landkreis,Heidenheim (Landkreis),2012,1764
Ostalbkreis,Landkreis,Ostalbkreis (Landkreis),2012,4529
Baden-Baden,kreisfreie Stadt,Baden-Baden (kreisfreie Stadt),2012,132
